Chinese Character,Pinyin,English,Urdu (Script),Urdu (Romanized Pronunciation),Roman Urdu
龙,Lóng,Dragon,اژدھا,لونگ,Azdaha
大象,Dà xiàng,Elephant,ہاتھی,تا شیانگ,Hathi
老虎,Lǎohǔ,Tiger,چیتا,لاؤ ہو,Cheeta
狮子,Shīzi,Lion,ببر شیر,شی زہ,Babar Sher
蛇,Shé,Snake,سانپ,شی,Saanp
猴子,Hóuzi,Monkey,بندر,ھو ذھ,Bandar
猫,Māo,Cat,بلی,ماؤ,Billi
熊猫,Xióngmāo,Panda,پنڈا,شیونگ ماؤ,Panda
狼,Láng,Wolf,بھیڑیا,لانگ,Bheriya
狗,Gǒu,Dog,کتا,گو,Kutta
猪,Zhū,Pig,سور,ژو,Suuar
羊,Yáng,Sheep,بھیڑ,یانگ,Bher
山羊,Shānyáng,Goat,بکری,شان یانگ,Bakri
鸡,Jī,Chicken,مرغی,جی,Murghi
青蛙,Qīngwā,Frog,مینڈک,چھنگ وا,Mendak
鱼,Yú,Fish,مچھلی,ایوی,Machli
虾,Xiā,Prawn,جھینگا,شیا,Jheenga
马,Mǎ,Horse,گھوڑا,ما,Ghora
熊,Xióng,Bear,ریچھ,شیونگ,Reech
驴,Lǘ,Donkey,گدھا,لو,Gadha
鸟,Niǎo,Bird,چڑیا,نیاں,Cheerya
牛,Niú,Cow,گائے,نیو,Gaay
