Chinese Character,Pinyin,English,Urdu (Script),Urdu (Romanized Pronunciation),Roman Urdu
零,Líng,Zero,صفر,لِینگ,Sifar
一,Yī,One,ایک,یِ (اِی) (بو),Ek
二,Èr,Two,دو,ار,Do
三,Sān,Three,تین,سَن,Teen
四,Sì,Four,چار,سِ,Char
五,Wǔ,Five,پانچ,وُو,Paanch
六,Liù,Six,چھ,لِیو,Chay
七,Qī,Seven,سات,چِھی,Saat
八,Bā,Eight,آٹھ,پا,Aath
九,Jiǔ,Nine,نو,جِیو,No
十,Shí,Ten,دس,شِ,Das
十一,Shíyī,Eleven,گیارہ,شِ یِ,Giyara
十九,Shíjiǔ,Nineteen,انیس,شِ جِیو,Unees
二十,Èrshí,Twenty,بیس,اَرشِ,Bees
九十,Jiǔshí,Ninety,نوے,جِیو شِ,Nawe
一百,Yī bǎi,One hundred,ایک سو,ای پاۓ,Ek So
一千,Yīqiān,One thousand,ایک ہزار,ای چِھیاں,Ek Hazar
一万,Yī wàn,Ten thousand,دس ہزار,ای وان,Das Hazar
十亿,Shí yì,One billion,ایک ارب,شِ ای,Ekk Arab
