Chinese Character,Pinyin,English,Urdu (Script),Urdu (Romanized Pronunciation),Roman Urdu
苹果,Píngguǒ,Apple,سیب,پھنگ گو,Saib
香蕉,Xiāngjiāo,Banana,کیلا,شیانگ جیاؤ,Kela
芒果,Mángguǒ,Mango,آم,مانگ گو,Aam
橙子,Chéngzi,Orange,مالٹا,چھنگ ذھ,Malta
葡萄,Pútáo,Grape,انگور,پھو تھاؤ,Angoor
西瓜,Xīguā,Watermelon,تربوز,شی وا,Tarbooz
草莓,Cǎoméi,Strawberry,اسٹرابیری,تھساؤ می,Strawberry
菠萝,Bōluó,Pineapple,انناس,پو لوؤ,Ananas
桃子,Táozi,Peach,آڑو,تھاؤ ذھ,Aaru
梨,Lí,Pear,ناشپاتی,لی,Nashpati
樱桃,Yīngtáo,Cherry,چیری,ینگ تھاؤ,Cherry
柠檬,Níngméng,Lemon,لیموں,ننگ منگ,Limu
荔枝,Lìzhī,Lychee,لیچی,لی جھی,Lichi
石榴,Shíliú,Pomegranate,انار,شی لیو,Anar
木瓜,Mùguā,Papaya,پپیتا,مو وا,Papita
椰子,Yēzi,Coconut,ناریل,ای ذھ,Nariyal
杏子,Xìngzi,Apricot,خوبانی,شنگ ذھ,Khubani
李子,Lǐzi,Plum,آلو بخارا,لی ذھ,Aloo Bukhara
枣,Zǎo,Date,کھجور,تساؤ,Khajoor
番石榴,Fānshíliú,Guava,امرود,فان شی لیو,Amrood
